00	34636544
	1.73918e+09
AK	4.57887e+08
AL	8.18163e+09
AR	394274
AZ	5.00335e+09
CA	2.01772e+10
CO	3.51114e+09
CT	6.41961e+08
DC	7.35181e+08
DE	3.15594e+06
FL	1.00579e+09
GA	1.62017e+09
HI	5.08767e+07
IA	6.85938e+06
ID	2.6653e+08
IL	2.42829e+08
IN	1.6748e+07
KS	3.86124e+06
KY	9.31884e+08
LA	4.12869e+07
MA	7.41411e+08
MD	5.22345e+09
ME	3.77105e+08
MI	2.16534e+08
MN	2.25506e+08
MO	7.76334e+08
MP	181589
MS	4.73249e+08
MT	3.51286e+08
NC	3.33236e+08
ND	1.32379e+08
NE	2.32622e+09
NH	2.5068e+08
NJ	6.952e+08
NM	2.4557e+08
NV	4.67847e+07
NY	1.30092e+09
OH	9.23817e+08
OK	1.33537e+08
OR	4.47467e+08
PA	3.42441e+08
PR	8.60421e+07
PW	102976
RI	2.09402e+07
SC	1.17601e+07
SD	3.44664e+06
TN	1.6877e+10
TX	1.87411e+10
UT	2.03845e+09
VA	3.75353e+10
VI	21322.6
VT	4.40673e+07
WA	2.88694e+09
WI	1.17869e+07
WV	9.24837e+07
WY	6.77497e+06
